id,name,country,region
1,AL,Albanien,5
2,AD,Andorra,3
3,AM,Armenien,7
4,AZ,Aserbaidschan,7
5,AU,Australien,9
6,BY,Belarus,6
7,BE,Belgien,3
8,BA,Bosnien-Herzegowina,5
9,BG,Bulgarien,5
10,DK,Dänemark,1
11,DE,Deutschland,2
12,EE,Estland,2
13,FI,Finnland,1
14,FR,Frankreich,3
15,GE,Georgien,7
16,GR,Griechenland,5
17,GB,Großbritannien,3
18,IE,Irland,3
19,IS,Island,1
20,IL,Israel,8
21,IT,Italien,4
22,YU,Jugoslawien,5
23,HR,Kroatien,2
24,LV,Lettland,2
25,LT,Litauen,2
26,LU,Luxemburg,2
27,MT,Malta,4
28,MA,Marokko,10
29,MD,Moldau,5
30,MC,Monaco,3
31,ME,Montenegro,5
32,NL,Niederlande,3
33,MK,Nordmazedonien,5
34,NO,Norwegen,1
35,AT,Österreich,2
36,PL,Polen,2
37,PT,Portugal,4
38,RO,Rumänien,5
39,RU,Russland,6
40,SM,San Marino,4
41,SE,Schweden,1
42,CH,Schweiz,2
43,RS,Serbien,5
44,CS,Serbien-Montenegro,5
45,SK,Slowakei,2
46,SI,Slowenien,2
47,ES,Spanien,4
48,CZ,Tschechien,2
49,TR,Türkei,7
50,UA,Ukraine,6
51,HU,Ungarn,2
52,CY,Zypern,7